RAM 5617/15825MB (lfb 247x4MB) SWAP 6/7912MB (cached 0MB) CPU [79%@2265,78%@2265,78%@2265,92%@2265,75%@2265,78%@2265,78%@2265,85%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 2% AO@44.5C GPU@52C Tdiode@47C PMIC@50C AUX@46C CPU@52C thermal@48.8C Tboard@43C GPU 0/0 CPU 11175/11175 SOC 3367/3367 CV 0/0 VDDRQ 1071/1071 SYS5V 3104/3104
RAM 5704/15825MB (lfb 215x4MB) SWAP 6/7912MB (cached 0MB) CPU [88%@2265,88%@2265,87%@2265,87%@2265,88%@2265,87%@2265,100%@2265,88%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46C GPU@55C Tdiode@48.75C PMIC@50C AUX@48.5C CPU@54.5C thermal@51.95C Tboard@44C GPU 0/0 CPU 11481/11870 SOC 3061/3152 CV 0/0 VDDRQ 612/691 SYS5V 2943/2964
RAM 5704/15825MB (lfb 215x4MB) SWAP 6/7912MB (cached 0MB) CPU [88%@2265,88%@2265,87%@2265,88%@2265,88%@2265,88%@2265,100%@2265,88%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48C CPU@54.5C thermal@52.05C Tboard@44C GPU 0/0 CPU 11481/11868 SOC 3061/3152 CV 0/0 VDDRQ 612/690 SYS5V 2943/2964
RAM 5704/15825MB (lfb 215x4MB) SWAP 6/7912MB (cached 0MB) CPU [88%@2265,87%@2265,87%@2265,87%@2265,88%@2265,87%@2265,99%@2265,87%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48C CPU@54.5C thermal@51.45C Tboard@44C GPU 0/0 CPU 11634/11866 SOC 3061/3151 CV 0/0 VDDRQ 612/690 SYS5V 2943/2964
RAM 5704/15825MB (lfb 215x4MB) SWAP 6/7912MB (cached 0MB) CPU [89%@2265,88%@2265,86%@2265,86%@2265,87%@2265,87%@2265,99%@2265,87%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@48.75C PMIC@50C AUX@48C CPU@54.5C thermal@51.45C Tboard@44C GPU 0/0 CPU 11328/11863 SOC 3061/3151 CV 0/0 VDDRQ 612/689 SYS5V 2943/2964
RAM 5704/15825MB (lfb 215x4MB) SWAP 6/7912MB (cached 0MB) CPU [88%@2265,87%@2265,87%@2265,87%@2265,87%@2265,87%@2265,99%@2265,88%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54.5C Tdiode@49C PMIC@50C AUX@48C CPU@54C thermal@52.25C Tboard@44C GPU 0/0 CPU 11175/11859 SOC 3061/3150 CV 0/0 VDDRQ 612/689 SYS5V 2943/2964
RAM 5704/15825MB (lfb 215x4MB) SWAP 6/7912MB (cached 0MB) CPU [88%@2265,88%@2265,87%@2265,88%@2265,88%@2265,87%@2265,100%@2265,88%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54.5C Tdiode@49C PMIC@50C AUX@48C CPU@54C thermal@52.05C Tboard@44C GPU 0/0 CPU 11026/11854 SOC 3061/3149 CV 0/0 VDDRQ 612/688 SYS5V 2943/2964
RAM 5704/15825MB (lfb 215x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,88%@2265,88%@2265,88%@2265,88%@2265,88%@2265,100%@2265,88%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@56C Tdiode@48.75C PMIC@50C AUX@48C CPU@55.5C thermal@51.15C Tboard@43C GPU 0/0 CPU 14072/11867 SOC 3212/3150 CV 0/0 VDDRQ 764/689 SYS5V 2983/2964
RAM 5705/15825MB (lfb 215x4MB) SWAP 6/7912MB (cached 0MB) CPU [83%@2265,82%@2265,82%@2265,82%@2265,82%@2265,82%@2265,99%@2265,82%@2265] EMC_FREQ 8%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@46.5C GPU@55C Tdiode@48.75C PMIC@50C AUX@48.5C CPU@54.5C thermal@52.65C Tboard@43C GPU 0/0 CPU 12695/11872 SOC 3671/3153 CV 0/0 VDDRQ 1070/691 SYS5V 3144/2965
RAM 5688/15825MB (lfb 219x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,84%@2265,86%@2265,85%@2265,84%@2265,85%@2265,98%@2265,84%@2265] EMC_FREQ 8%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@52.65C Tboard@44C GPU 0/0 CPU 12547/11876 SOC 3366/3154 CV 0/0 VDDRQ 764/692 SYS5V 3024/2965
RAM 5813/15825MB (lfb 195x4MB) SWAP 6/7912MB (cached 0MB) CPU [88%@2265,88%@2265,87%@2265,87%@2265,88%@2265,86%@2265,100%@2265,87%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54C Tdiode@48.75C PMIC@50C AUX@48.5C CPU@53.5C thermal@52.25C Tboard@44C GPU 0/0 CPU 11328/11873 SOC 3061/3154 CV 0/0 VDDRQ 612/691 SYS5V 2943/2965
RAM 5687/15825MB (lfb 219x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,86%@2265,85%@2265,86%@2265,86%@2265,85%@2265,99%@2265,86%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54.5C Tdiode@49C PMIC@50C AUX@48C CPU@54C thermal@51.95C Tboard@44C GPU 0/0 CPU 11481/11871 SOC 3061/3153 CV 0/0 VDDRQ 612/691 SYS5V 2943/2965
RAM 5794/15825MB (lfb 199x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,86%@2265,86%@2265,87%@2265,86%@2265,85%@2265,100%@2265,85%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48C CPU@54C thermal@51.95C Tboard@44C GPU 0/0 CPU 11634/11869 SOC 3061/3153 CV 0/0 VDDRQ 612/690 SYS5V 2943/2965
RAM 5688/15825MB (lfb 219x4MB) SWAP 6/7912MB (cached 0MB) CPU [89%@2265,86%@2265,88%@2265,86%@2265,88%@2265,87%@2265,100%@2265,86%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48C CPU@54.5C thermal@51.45C Tboard@44C GPU 0/0 CPU 11328/11866 SOC 3061/3152 CV 0/0 VDDRQ 612/690 SYS5V 2943/2965
RAM 5686/15825MB (lfb 219x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,86%@2265,86%@2265,85%@2265,86%@2265,86%@2265,99%@2265,85%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48C CPU@54.5C thermal@52.05C Tboard@44C GPU 0/0 CPU 11940/11867 SOC 3061/3152 CV 0/0 VDDRQ 612/689 SYS5V 2903/2964
RAM 5770/15825MB (lfb 199x4MB) SWAP 6/7912MB (cached 0MB) CPU [88%@2265,88%@2265,87%@2265,87%@2265,85%@2265,87%@2265,99%@2265,86%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54C Tdiode@49C PMIC@50C AUX@48C CPU@53.5C thermal@52.05C Tboard@44C GPU 0/0 CPU 11022/11862 SOC 3061/3151 CV 0/0 VDDRQ 612/689 SYS5V 2943/2964
RAM 5687/15825MB (lfb 219x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,86%@2265,87%@2265,87%@2265,86%@2265,86%@2265,100%@2265,86%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46C GPU@55C Tdiode@49C PMIC@50C AUX@48C CPU@54.5C thermal@51.45C Tboard@44C GPU 0/0 CPU 11787/11861 SOC 3061/3150 CV 0/0 VDDRQ 612/688 SYS5V 2943/2964
RAM 5801/15825MB (lfb 198x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,84%@2265,86%@2265,85%@2265,83%@2265,82%@2265,98%@2265,84%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54.5C Tdiode@48.75C PMIC@50C AUX@48C CPU@54C thermal@51.45C Tboard@44C GPU 0/0 CPU 11481/11859 SOC 3061/3150 CV 0/0 VDDRQ 612/688 SYS5V 2943/2964
RAM 5688/15825MB (lfb 219x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,86%@2265,85%@2265,85%@2265,86%@2265,85%@2265,99%@2265,84%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@46.5C GPU@55.5C Tdiode@49C PMIC@50C AUX@48C CPU@55C thermal@51.75C Tboard@44C GPU 0/0 CPU 13313/11867 SOC 3212/3150 CV 0/0 VDDRQ 611/687 SYS5V 2943/2964
RAM 5689/15825MB (lfb 219x4MB) SWAP 6/7912MB (cached 0MB) CPU [83%@2265,83%@2265,83%@2265,82%@2265,83%@2265,82%@2265,100%@2265,83%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@46.5C GPU@55.5C Tdiode@49C PMIC@50C AUX@48C CPU@55C thermal@52.65C Tboard@44C GPU 0/0 CPU 12695/11872 SOC 3518/3152 CV 0/0 VDDRQ 1070/690 SYS5V 3144/2965
RAM 5741/15825MB (lfb 206x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,86%@2265,86%@2265,86%@2265,87%@2265,85%@2265,100%@2265,85%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@52.25C Tboard@44C GPU 0/0 CPU 12241/11874 SOC 3213/3153 CV 0/0 VDDRQ 612/689 SYS5V 2983/2965
RAM 5753/15825MB (lfb 204x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,87%@2265,87%@2265,86%@2265,86%@2265,85%@2265,99%@2265,85%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@51.75C Tboard@44C GPU 0/0 CPU 12093/11875 SOC 3061/3152 CV 0/0 VDDRQ 612/689 SYS5V 2943/2965
RAM 5784/15825MB (lfb 197x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,85%@2265,86%@2265,87%@2265,86%@2265,85%@2265,99%@2265,87%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54.5C Tdiode@49C PMIC@50C AUX@48.5C CPU@54C thermal@52.25C Tboard@44C GPU 0/0 CPU 12093/11877 SOC 3061/3152 CV 0/0 VDDRQ 612/688 SYS5V 2943/2965
RAM 5784/15825MB (lfb 197x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,85%@2265,86%@2265,86%@2265,85%@2265,86%@2265,99%@2265,86%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54.5C Tdiode@49C PMIC@50C AUX@48C CPU@54C thermal@52.25C Tboard@44C GPU 0/0 CPU 11787/11876 SOC 3061/3151 CV 0/0 VDDRQ 612/688 SYS5V 2903/2964
RAM 5754/15825MB (lfb 203x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,96%@2265,85%@2265,86%@2265,85%@2265,84%@2265,88%@2265,85%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54C Tdiode@49C PMIC@50C AUX@48.5C CPU@53.5C thermal@51.75C Tboard@44C GPU 0/0 CPU 11634/11875 SOC 3061/3151 CV 0/0 VDDRQ 612/687 SYS5V 2903/2964
RAM 5783/15825MB (lfb 197x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,100%@2265,87%@2265,86%@2265,85%@2265,85%@2265,86%@2265,86%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54.5C Tdiode@49C PMIC@50C AUX@48.5C CPU@54C thermal@52.25C Tboard@44C GPU 0/0 CPU 11787/11874 SOC 3061/3150 CV 0/0 VDDRQ 612/687 SYS5V 2903/2964
RAM 5870/15825MB (lfb 190x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2264,100%@2265,86%@2265,87%@2265,86%@2265,86%@2265,86%@2265,87%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54.5C Tdiode@49C PMIC@50C AUX@48.5C CPU@54C thermal@51.75C Tboard@44C GPU 0/0 CPU 11940/11875 SOC 3061/3150 CV 0/0 VDDRQ 612/687 SYS5V 2903/2963
RAM 5679/15825MB (lfb 219x4MB) SWAP 6/7912MB (cached 0MB) CPU [83%@2265,99%@2265,84%@2265,84%@2265,84%@2265,84%@2265,83%@2265,84%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@46.5C GPU@56C Tdiode@49C PMIC@50C AUX@48C CPU@55.5C thermal@52.65C Tboard@44C GPU 0/0 CPU 13154/11882 SOC 3518/3152 CV 0/0 VDDRQ 1070/689 SYS5V 3185/2964
RAM 5652/15825MB (lfb 226x4MB) SWAP 6/7912MB (cached 0MB) CPU [84%@2265,100%@2265,83%@2265,83%@2265,83%@2265,83%@2265,84%@2265,83%@2265] EMC_FREQ 8%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@46.5C GPU@56C Tdiode@49C PMIC@50C AUX@48.5C CPU@55.5C thermal@52.55C Tboard@44C GPU 0/0 CPU 13001/11888 SOC 3671/3155 CV 0/0 VDDRQ 1070/691 SYS5V 3185/2966
RAM 5770/15825MB (lfb 197x4MB) SWAP 6/7912MB (cached 0MB) CPU [88%@2265,97%@2265,87%@2265,87%@2265,88%@2265,87%@2265,86%@2265,87%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54.5C Tdiode@49.25C PMIC@50C AUX@48C CPU@54C thermal@52.25C Tboard@44C GPU 0/0 CPU 11328/11885 SOC 3214/3155 CV 0/0 VDDRQ 612/690 SYS5V 2943/2966
RAM 5650/15825MB (lfb 226x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,86%@2265,84%@2265,84%@2265,95%@2265,84%@2265,85%@2265,85%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@51.95C Tboard@44C GPU 0/0 CPU 11634/11883 SOC 3061/3154 CV 0/0 VDDRQ 612/690 SYS5V 2943/2965
RAM 5768/15825MB (lfb 197x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,86%@2265,86%@2265,85%@2265,98%@2265,86%@2265,86%@2265,85%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54.5C Tdiode@49C PMIC@50C AUX@48C CPU@54C thermal@52.25C Tboard@44C GPU 0/0 CPU 11328/11880 SOC 3061/3154 CV 0/0 VDDRQ 612/689 SYS5V 2943/2965
RAM 5650/15825MB (lfb 226x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,85%@2265,85%@2265,85%@2265,97%@2265,87%@2265,84%@2265,86%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@52.25C Tboard@44C GPU 0/0 CPU 11481/11878 SOC 3061/3153 CV 0/0 VDDRQ 612/689 SYS5V 2943/2965
RAM 5768/15825MB (lfb 197x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,85%@2265,86%@2265,86%@2265,97%@2265,87%@2265,86%@2265,85%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54.5C Tdiode@49C PMIC@50C AUX@48.5C CPU@54C thermal@52.35C Tboard@44C GPU 0/0 CPU 11481/11876 SOC 3061/3153 CV 0/0 VDDRQ 612/689 SYS5V 2943/2965
RAM 5650/15825MB (lfb 226x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,86%@2265,85%@2265,85%@2265,97%@2265,87%@2265,85%@2265,86%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@52.25C Tboard@44C GPU 0/0 CPU 11634/11875 SOC 3061/3152 CV 0/0 VDDRQ 612/688 SYS5V 2903/2965
RAM 5658/15825MB (lfb 226x4MB) SWAP 6/7912MB (cached 0MB) CPU [88%@2265,88%@2265,88%@2265,87%@2265,97%@2265,88%@2265,87%@2265,87%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 1% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54C thermal@52.25C Tboard@44C GPU 0/0 CPU 11481/11873 SOC 3061/3152 CV 0/0 VDDRQ 612/688 SYS5V 2903/2964
RAM 5761/15825MB (lfb 205x4MB) SWAP 6/7912MB (cached 0MB) CPU [92%@2265,94%@2265,94%@2265,93%@2265,92%@2265,98%@2265,94%@2265,94%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 2% bg 1% AO@46.5C GPU@54.5C Tdiode@49C PMIC@50C AUX@48C CPU@54C thermal@52.25C Tboard@44C GPU 0/0 CPU 10567/11866 SOC 2909/3151 CV 0/0 VDDRQ 459/687 SYS5V 2862/2964
RAM 5691/15825MB (lfb 222x4MB) SWAP 6/7912MB (cached 0MB) CPU [96%@2265,93%@2265,93%@2265,94%@2265,93%@2265,92%@2265,93%@2265,94%@2265] EMC_FREQ 3%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 2% bg 0% AO@46.5C GPU@53.5C Tdiode@48.75C PMIC@50C AUX@48C CPU@53.5C thermal@51.95C Tboard@44C GPU 0/0 CPU 10261/11858 SOC 2909/3149 CV 0/0 VDDRQ 459/685 SYS5V 2822/2963
RAM 5730/15825MB (lfb 215x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,88%@2265,86%@2265,86%@2265,86%@2265,86%@2265,93%@2265,88%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 1% bg 1% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48C CPU@54.5C thermal@51.75C Tboard@44C GPU 0/0 CPU 11328/11855 SOC 3061/3149 CV 0/0 VDDRQ 612/685 SYS5V 2903/2963
RAM 5811/15825MB (lfb 197x4MB) SWAP 6/7912MB (cached 0MB) CPU [88%@2265,88%@2265,87%@2265,89%@2265,86%@2265,88%@2265,98%@2265,87%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54C Tdiode@49C PMIC@50C AUX@48C CPU@53.5C thermal@51.95C Tboard@44C GPU 0/0 CPU 11022/11851 SOC 3061/3148 CV 0/0 VDDRQ 612/685 SYS5V 2903/2962
RAM 5691/15825MB (lfb 224x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,85%@2265,84%@2265,86%@2265,85%@2265,85%@2265,97%@2265,85%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@48.75C PMIC@50C AUX@48C CPU@54.5C thermal@51.75C Tboard@44C GPU 0/0 CPU 11634/11849 SOC 3061/3148 CV 0/0 VDDRQ 612/684 SYS5V 2903/2962
RAM 5713/15825MB (lfb 223x4MB) SWAP 6/7912MB (cached 0MB) CPU [95%@2265,94%@2265,94%@2265,94%@2265,94%@2265,93%@2265,98%@2265,95%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 2% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48C CPU@54.5C thermal@51.75C Tboard@44C GPU 0/0 CPU 11180/11846 SOC 2908/3147 CV 0/0 VDDRQ 459/683 SYS5V 2862/2962
RAM 5742/15825MB (lfb 219x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,85%@2265,84%@2265,83%@2265,84%@2265,84%@2265,85%@2265,98%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@46.5C GPU@55C Tdiode@48.75C PMIC@50C AUX@48C CPU@54.5C thermal@52.35C Tboard@44C GPU 0/0 CPU 12394/11849 SOC 3366/3148 CV 0/0 VDDRQ 764/684 SYS5V 3064/2962
RAM 5742/15825MB (lfb 218x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,83%@2265,87%@2265,85%@2265,86%@2265,84%@2265,83%@2265,98%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54.5C Tdiode@49C PMIC@50C AUX@48C CPU@54C thermal@51.75C Tboard@44C GPU 0/0 CPU 12247/11851 SOC 3060/3147 CV 0/0 VDDRQ 612/683 SYS5V 2903/2962
RAM 5687/15825MB (lfb 231x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,85%@2265,84%@2265,85%@2265,84%@2265,84%@2265,85%@2265,99%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48C CPU@54.5C thermal@52.25C Tboard@44C GPU 0/0 CPU 12093/11852 SOC 3061/3147 CV 0/0 VDDRQ 612/683 SYS5V 2903/2962
RAM 5712/15825MB (lfb 225x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,85%@2265,85%@2265,85%@2265,85%@2265,97%@2265,85%@2265,86%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@46.5C GPU@56C Tdiode@49C PMIC@50C AUX@48.5C CPU@55.5C thermal@52.65C Tboard@43C GPU 0/0 CPU 14072/11863 SOC 3365/3148 CV 0/0 VDDRQ 917/684 SYS5V 3064/2962
RAM 5716/15825MB (lfb 225x4MB) SWAP 6/7912MB (cached 0MB) CPU [95%@2265,94%@2265,94%@2265,95%@2265,96%@2265,100%@2265,95%@2265,95%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 1% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48C CPU@54.5C thermal@52.65C Tboard@43C GPU 0/0 CPU 11787/11863 SOC 2908/3147 CV 0/0 VDDRQ 459/683 SYS5V 2822/2961
RAM 5683/15825MB (lfb 225x4MB) SWAP 6/7912MB (cached 0MB) CPU [96%@2265,97%@2265,97%@2265,96%@2265,95%@2265,97%@2265,96%@2265,98%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 3% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@51.75C Tboard@44C GPU 0/0 CPU 11481/11861 SOC 3061/3146 CV 0/0 VDDRQ 612/683 SYS5V 2943/2961
RAM 5683/15825MB (lfb 225x4MB) SWAP 6/7912MB (cached 0MB) CPU [83%@2265,82%@2265,82%@2265,100%@2265,83%@2265,82%@2265,83%@2265,83%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@46C GPU@55.5C Tdiode@49C PMIC@50C AUX@48.5C CPU@55C thermal@52.35C Tboard@44C GPU 0/0 CPU 12542/11864 SOC 3671/3149 CV 0/0 VDDRQ 1070/684 SYS5V 3185/2962
RAM 5725/15825MB (lfb 216x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,86%@2265,87%@2265,96%@2265,87%@2265,89%@2265,87%@2265,87%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@51.95C Tboard@44C GPU 0/0 CPU 12093/11865 SOC 3060/3149 CV 0/0 VDDRQ 612/684 SYS5V 2943/2962
RAM 5832/15825MB (lfb 200x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,98%@2265,85%@2265,88%@2265,86%@2265,84%@2265,87%@2265,86%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@52.55C Tboard@44C GPU 0/0 CPU 11634/11864 SOC 3061/3148 CV 0/0 VDDRQ 612/684 SYS5V 2943/2962
RAM 5725/15825MB (lfb 216x4MB) SWAP 6/7912MB (cached 0MB) CPU [89%@2265,90%@2265,89%@2265,88%@2265,95%@2265,91%@2265,92%@2265,91%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 1% bg 0% AO@46.5C GPU@55C Tdiode@48.75C PMIC@50C AUX@48C CPU@54.5C thermal@51.45C Tboard@44C GPU 0/0 CPU 11333/11862 SOC 2908/3147 CV 0/0 VDDRQ 459/683 SYS5V 2822/2962
RAM 5839/15825MB (lfb 199x4MB) SWAP 6/7912MB (cached 0MB) CPU [91%@2265,91%@2265,92%@2265,91%@2265,92%@2265,91%@2265,99%@2265,92%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 1% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@51.75C Tboard@44C GPU 0/0 CPU 11634/11861 SOC 3061/3147 CV 0/0 VDDRQ 612/682 SYS5V 2943/2961
RAM 5729/15825MB (lfb 216x4MB) SWAP 6/7912MB (cached 0MB) CPU [88%@2265,88%@2265,87%@2265,87%@2265,87%@2265,87%@2265,95%@2265,92%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54.5C Tdiode@49C PMIC@50C AUX@48.5C CPU@54C thermal@51.45C Tboard@44C GPU 0/0 CPU 11328/11858 SOC 3061/3146 CV 0/0 VDDRQ 612/682 SYS5V 2903/2961
